element,ion,wavelength_nm,strength_percentile
Ne,2,193.0035,99
Xe,3,193.0083,36
Fe,3,193.0190,45
Na,3,193.0293,26
Pd,3,193.0330,82
Mg,3,193.0374,35
Fe,3,193.0395,97
Os,3,193.0409,75
Ni,3,193.0430,25
Co,3,193.0478,87
In,2,193.0533,99
Yb,3,193.0630,15
Mg,3,193.0672,93
Ne,3,193.0762,25
Pt,2,193.0762,32
S,2,193.0819,79
C,1,193.0905,100
Fe,3,193.0907,66
Ne,3,193.1007,63
Al,2,193.1048,75
Sn,3,193.1130,97
Fe,3,193.1202,20
Fe,3,193.1313,26
Re,3,193.1384,30
Mn,2,193.1404,70
Ne,3,193.1431,51
Bi,3,193.1438,10
Fe,3,193.1511,95
Fe,3,193.1667,26
Os,3,193.1700,99
Ne,3,193.1727,44
Rh,3,193.1790,55
Au,3,193.2040,13
W,3,193.2040,59
In,2,193.2140,76
Ne,3,193.2212,52
Pt,1,193.2244,72
Al,1,193.2268,99
Sc,2,193.2272,30
Al,2,193.2377,76
W,3,193.2394,22
Fe,3,193.2467,56
Zr,3,193.2492,75
Na,3,193.2737,69
Pt,2,193.2739,56
Co,3,193.2751,66
Fe,3,193.2822,67
Co,3,193.2966,40
Sn,1,193.3149,47
Re,3,193.3208,49
Co,3,193.3243,85
Pt,2,193.3362,44
Fe,3,193.3364,45
Ag,2,193.3495,73
Re,3,193.3528,76
Ne,2,193.3530,43
Mg,3,193.3563,68
Kr,3,193.3680,60
Na,3,193.3885,79
V,3,193.4000,38
Pt,2,193.4016,60
Ge,1,193.4048,49
W,3,193.4102,88
Re,3,193.4159,83
Fe,3,193.4242,10
Zr,3,193.4251,61
Co,3,193.4269,84
Os,3,193.4300,56
Na,3,193.4335,8
Pt,1,193.4368,94
Al,2,193.4503,82
Hg,2,193.4591,3
Pt,2,193.4640,5
Al,2,193.4713,75
Co,3,193.4731,85
Re,3,193.4833,81
Fe,3,193.4883,11
Co,3,193.5023,92
Re,3,193.5036,10
Mn,2,193.5068,13
Zr,3,193.5097,58
Cs,2,193.5194,24
Au,3,193.5420,18
Al,3,193.5840,99
W,3,193.5886,21
Al,3,193.5949,98
Os,3,193.6083,71
Fe,3,193.6115,46
In,2,193.6188,99
Fe,3,193.6266,27
Fe,3,193.6313,27
W,3,193.6334,8
Pt,2,193.6377,19
Co,3,193.6383,82
Zr,3,193.6433,76
Al,1,193.6457,100
Co,1,193.6580,67
Zr,3,193.6638,77
S,2,193.6731,99
Re,3,193.6773,56
Co,3,193.6779,78
Fe,3,193.6798,67
Na,3,193.6815,26
Al,2,193.6907,76
B,2,193.6917,60
Co,3,193.6937,98
Na,3,193.7030,9
B,2,193.7046,79
Fe,3,193.7077,57
Zr,3,193.7215,78
B,2,193.7294,62
Re,3,193.7307,41
Fe,3,193.7357,97
Os,3,193.7358,72
W,3,193.7361,63
Pt,1,193.7424,96
V,2,193.7452,59
Ag,2,193.7455,21
B,2,193.7459,63
Ge,1,193.7482,73
B,2,193.7565,64
As,1,193.7590,99
Os,3,193.7634,13
Co,3,193.7659,90
Zr,3,193.7784,25
Mg,3,193.7843,89
Fe,3,193.7993,67
Ge,2,193.8008,91
Co,3,193.8226,13
Mg,3,193.8249,35
Ge,1,193.8301,74
Na,3,193.8410,13
Sr,3,193.8447,40
La,3,193.8570,94
Ca,3,193.8572,55
Na,3,193.8637,27
W,3,193.8694,23
Fe,3,193.8764,93
Ar,3,193.8789,82
Ne,2,193.8827,95
Nb,3,193.8840,79
Ge,2,193.8891,92
Fe,3,193.8910,97
Mg,3,193.8936,36
Ru,2,193.9043,1
Fe,3,193.9116,47
Ca,3,193.9244,70
Al,2,193.9261,76
Rb,2,193.9331,44
Fe,3,193.9380,11
Fe,3,193.9415,5
W,3,193.9483,35
Ru,2,193.9505,3
Na,3,193.9559,10
Cd,3,193.9590,28
Ca,3,193.9683,85
Pt,2,193.9811,96
W,3,193.9898,70
Fe,3,194.0019,93
Pt,1,194.0033,89
Re,3,194.0077,61
Co,3,194.0150,99
Hg,2,194.0219,47
Zr,3,194.0234,99
Re,3,194.0299,55
Re,3,194.0469,91
